Bias_Power_W,Chamber_Pressure_mTorr,RF_Power_W,CHF3_flow_sccm,R
-1,-1,-1,-1,83.137
-1,-1,-1,1,60.984
-1,-1,1,-1,86.296
-1,-1,1,1,90.153
-1,1,-1,-1,81.385
-1,1,-1,1,66.091
-1,1,1,-1,87.564
-1,1,1,1,93.413
1,-1,-1,-1,33.532
1,-1,-1,1,105.17
1,-1,1,-1,80.696
1,-1,1,1,77.062
1,1,-1,-1,35.043
1,1,-1,1,103.251
1,1,1,-1,76.043
1,1,1,1,76.071
0,0,0,0,95.123
0,0,0,0,101.948
0,0,0,0,106.331
0,0,0,0,94.526
-1,0,0,0,92.115
1,0,0,0,90.121
0,-1,0,0,99.876
0,1,0,0,100.978
0,0,-1,0,86.27
0,0,1,0,103.448
0,0,0,-1,86.317
0,0,0,1,98.111
